player_name,player_height,player_weight
Justin James,200.66,86.18248
Justin Patton,210.82,109.315672
Nate Darling,198.12,90.7184
Thon Maker,213.36,100.243832
T.J. Leaf,208.28,100.697424
T.J. Warren,203.2,99.79024
Terrance Ferguson,198.12,86.18248
Will Magnay,208.28,106.140528
Xavier Tillman,203.2,111.13004
Yogi Ferrell,182.88,80.739376
Zion Williamson,200.66,128.820128
Vincent Poirier,213.36,106.59412
Ty-Shon Alexander,190.5,88.45044
Tyler Bey,200.66,97.52228
James Nunnally,200.66,92.98636
Sindarius Thornwell,193.04,97.52228
PJ Dozier,198.12,92.98636
Patrick McCaw,200.66,82.100152
Patrick Patterson,203.2,106.59412
Nico Mannion,187.96,86.18248
Nicolas Claxton,210.82,97.52228
Nicolo Melli,205.74,107.047712
Noah Vonleh,208.28,116.573144
Rondae Hollis-Jefferson,198.12,98.429464
Sean McDermott,198.12,88.45044
Rodions Kurucs,205.74,103.418976
Ray Spalding,205.74,102.0582
Quinn Cook,185.42,81.64656
Robert Franks,200.66,102.0582
Chasson Randle,187.96,83.91452
Cameron Reynolds,200.66,102.0582
Darius Miller,198.12,102.0582
Dario Saric,208.28,102.0582
Dante Exum,195.58,97.068688
Cristiano Felicio,210.82,122.46984
Andre Roberson,200.66,95.25432
Anderson Varejao,210.82,117.93392
Amida Brimah,208.28,104.32616
Alen Smailagic,208.28,97.52228
Aleksej Pokusevski,213.36,86.18248
Al-Farouq Aminu,203.2,99.79024
Adam Mokoka,193.04,86.18248
Anthony Tolliver,203.2,108.86208
Anzejs Pasecniks,215.9,103.872568
Bruno Caboclo,205.74,98.883056
Brian Bowen II,198.12,86.18248
Ben Simmons,210.82,108.86208
Axel Toupane,200.66,95.25432
Ashton Hagans,190.5,86.18248
Aron Baynes,208.28,117.93392
Henry Ellenson,208.28,108.86208
Harry Giles III,210.82,108.86208
Greg Whittington,203.2,95.25432
Grant Riller,187.96,86.18248
Glenn Robinson III,198.12,100.697424
Iman Shumpert,195.58,96.161504
Jamal Murray,190.5,97.52228
Jalen Lecque,193.04,83.91452
Jalen Harris,195.58,88.45044
Jahlil Okafor,208.28,122.46984
JaKarr Sampson,200.66,97.068688
JJ Redick,190.5,90.7184
Frank Mason,180.34,86.18248
Donta Hall,208.28,104.32616
Enes Kanter,208.28,113.398
